task_id,split,in_frame,declined_reason,block_rows,block_columns,identity_layout,n_blocks,blocks_described,blocks_determined,blocks_ambiguous,blocks_unmatched,fixed_layout_determined,state_layout_determined
a59b95c0,training,False,inconsistent_block_layout,,,,,,,,,,
a5f85a15,training,True,,1,1,True,3,0,0,0,3,False,False
a61ba2ce,training,False,output_not_block_multiple,,,,,,,,,,
a61f2674,training,True,,1,1,True,2,0,0,0,2,False,False
a644e277,training,False,output_not_block_multiple,,,,,,,,,,
a64e4611,training,True,,1,1,True,3,0,0,0,3,False,False
a65b410d,training,True,,1,1,True,3,0,0,0,3,False,False
a680ac02,training,False,output_not_block_multiple,,,,,,,,,,
a68b268e,training,False,output_not_block_multiple,,,,,,,,,,
a6953f00,training,False,output_not_block_multiple,,,,,,,,,,
a699fb00,training,True,,1,1,True,3,0,0,0,3,False,False
a740d043,training,False,output_not_block_multiple,,,,,,,,,,
a78176bb,training,True,,1,1,True,3,0,0,0,3,False,False
a79310a0,training,True,,1,1,True,3,0,0,0,3,False,False
a834deea,training,True,,1,1,True,3,0,0,0,3,False,False
a85d4709,training,True,,1,1,True,4,0,0,0,4,False,False
a8610ef7,training,True,,1,1,True,4,0,0,0,4,False,False
a87f7484,training,False,output_not_block_multiple,,,,,,,,,,
a8c38be5,training,False,output_not_block_multiple,,,,,,,,,,
a8d7556c,training,True,,1,1,True,3,0,0,0,3,False,False
a934301b,training,True,,1,1,True,3,0,0,0,3,False,False
a9f96cdd,training,True,,1,1,True,4,0,0,0,4,False,False
aa18de87,training,True,,1,1,True,4,0,0,0,4,False,False
aa300dc3,training,True,,1,1,True,4,0,0,0,4,False,False
aa62e3f4,training,True,,1,1,True,2,0,0,0,2,False,False
aab50785,training,False,output_not_block_multiple,,,,,,,,,,
aabf363d,training,True,,1,1,True,2,0,0,0,2,False,False
aaecdb9a,training,False,output_not_block_multiple,,,,,,,,,,
aaef0977,training,True,,1,1,True,2,0,0,0,2,False,False
aba27056,training,True,,1,1,True,3,0,0,0,3,False,False
abbfd121,training,False,output_not_block_multiple,,,,,,,,,,
ac0a08a4,training,False,inconsistent_block_layout,,,,,,,,,,
ac0c2ac3,training,True,,1,1,True,3,0,0,0,3,False,False
ac0c5833,training,True,,1,1,True,3,0,0,0,3,False,False
ac2e8ecf,training,True,,1,1,True,3,0,0,0,3,False,False
ac3e2b04,training,True,,1,1,True,4,0,0,0,4,False,False
ac605cbb,training,True,,1,1,True,6,0,0,0,6,False,False
ac6f9922,training,False,output_not_block_multiple,,,,,,,,,,
ad173014,training,True,,1,1,True,3,0,0,0,3,False,False
ad38a9d0,training,True,,1,1,True,2,0,0,0,2,False,False
ad3b40cf,training,True,,1,1,True,3,0,0,0,3,False,False
ad7e01d0,training,False,inconsistent_block_layout,,,,,,,,,,
ae3edfdc,training,True,,1,1,True,3,0,0,0,3,False,False
ae4f1146,training,False,output_not_block_multiple,,,,,,,,,,
ae58858e,training,True,,1,1,True,4,0,0,0,4,False,False
aedd82e4,training,True,,1,1,True,4,0,0,0,4,False,False
aee291af,training,False,output_not_block_multiple,,,,,,,,,,
af24b4cc,training,False,output_not_block_multiple,,,,,,,,,,
af726779,training,True,,1,1,True,3,0,0,0,3,False,False
af902bf9,training,True,,1,1,True,3,0,0,0,3,False,False
afe3afe9,training,False,output_not_block_multiple,,,,,,,,,,
b0722778,training,False,output_not_block_multiple,,,,,,,,,,
b0c4d837,training,False,output_not_block_multiple,,,,,,,,,,
b0f4d537,training,False,output_not_block_multiple,,,,,,,,,,
b15fca0b,training,True,,1,1,True,5,0,0,0,5,False,False
b190f7f5,training,False,output_not_block_multiple,,,,,,,,,,
b1948b0a,training,True,,1,1,True,3,0,0,0,3,False,False
b1986d4b,training,False,output_not_block_multiple,,,,,,,,,,
b1fc8b8e,training,False,output_not_block_multiple,,,,,,,,,,
b20f7c8b,training,True,,1,1,True,3,0,0,0,3,False,False
b230c067,training,True,,1,1,True,3,0,0,0,3,False,False
b25e450b,training,True,,1,1,True,3,0,0,0,3,False,False
b27ca6d3,training,True,,1,1,True,2,0,0,0,2,False,False
b2862040,training,True,,1,1,True,4,0,0,0,4,False,False
b2bc3ffd,training,True,,1,1,True,3,0,0,0,3,False,False
b457fec5,training,True,,1,1,True,3,0,0,0,3,False,False
b4a43f3b,training,False,output_not_block_multiple,,,,,,,,,,
b527c5c6,training,True,,1,1,True,4,0,0,0,4,False,False
b548a754,training,True,,1,1,True,3,0,0,0,3,False,False
b5bb5719,training,True,,1,1,True,7,0,0,0,7,False,False
b60334d2,training,True,,1,1,True,2,0,0,0,2,False,False
b6afb2da,training,True,,1,1,True,2,0,0,0,2,False,False
b71a7747,training,False,output_not_block_multiple,,,,,,,,,,
b7249182,training,True,,1,1,True,3,0,0,0,3,False,False
b7256dcd,training,True,,1,1,True,2,0,0,0,2,False,False
b745798f,training,True,,1,1,True,3,0,0,0,3,False,False
b74ca5d1,training,True,,1,1,True,3,0,0,0,3,False,False
b775ac94,training,True,,1,1,True,3,0,0,0,3,False,False
b782dc8a,training,True,,1,1,True,2,0,0,0,2,False,False
b7955b3c,training,True,,1,1,True,3,0,0,0,3,False,False
b7999b51,training,False,output_not_block_multiple,,,,,,,,,,
b7cb93ac,training,False,output_not_block_multiple,,,,,,,,,,
b7f8a4d8,training,True,,1,1,True,3,0,0,0,3,False,False
b7fb29bc,training,True,,1,1,True,3,0,0,0,3,False,False
b8825c91,training,True,,1,1,True,4,0,0,0,4,False,False
b8cdaf2b,training,True,,1,1,True,4,0,0,0,4,False,False
b91ae062,training,False,inconsistent_block_layout,,,,,,,,,,
b942fd60,training,True,,1,1,True,6,0,0,0,6,False,False
b94a9452,training,False,output_not_block_multiple,,,,,,,,,,
b9630600,training,True,,1,1,True,3,0,0,0,3,False,False
b9b7f026,training,False,output_not_block_multiple,,,,,,,,,,
ba1aa698,training,False,output_not_block_multiple,,,,,,,,,,
ba26e723,training,True,,1,1,True,5,0,0,0,5,False,False
ba97ae07,training,True,,1,1,True,4,0,0,0,4,False,False
ba9d41b8,training,True,,1,1,True,3,0,0,0,3,False,False
bae5c565,training,True,,1,1,True,2,0,0,0,2,False,False
baf41dbf,training,True,,1,1,True,3,0,0,0,3,False,False
bb43febb,training,True,,1,1,True,2,0,0,0,2,False,False
bb52a14b,training,True,,1,1,True,3,0,0,0,3,False,False
bbb1b8b6,training,False,output_not_block_multiple,,,,,,,,,,
bbc9ae5d,training,False,inconsistent_block_layout,,,,,,,,,,
bc1d5164,training,False,output_not_block_multiple,,,,,,,,,,
bc4146bd,training,True,,1,5,False,20,20,20,0,0,True,False
bc93ec48,training,True,,1,1,True,3,0,0,0,3,False,False
bcb3040b,training,True,,1,1,True,3,0,0,0,3,False,False
bd14c3bf,training,True,,1,1,True,3,0,0,0,3,False,False
bd283c4a,training,True,,1,1,True,2,0,0,0,2,False,False
bd4472b8,training,True,,1,1,True,3,0,0,0,3,False,False
bd5af378,training,True,,1,1,True,4,0,0,0,4,False,False
bda2d7a6,training,True,,1,1,True,3,0,0,0,3,False,False
bdad9b1f,training,True,,1,1,True,2,0,0,0,2,False,False
be03b35f,training,False,output_not_block_multiple,,,,,,,,,,
be94b721,training,False,output_not_block_multiple,,,,,,,,,,
beb8660c,training,True,,1,1,True,3,0,0,0,3,False,False
bf32578f,training,True,,1,1,True,3,0,0,0,3,False,False
bf699163,training,False,output_not_block_multiple,,,,,,,,,,
bf89d739,training,True,,1,1,True,4,0,0,0,4,False,False
c074846d,training,True,,1,1,True,5,0,0,0,5,False,False
c0f76784,training,True,,1,1,True,3,0,0,0,3,False,False
c1990cce,training,False,inconsistent_block_layout,,,,,,,,,,
c1d99e64,training,True,,1,1,True,3,0,0,0,3,False,False
c3202e5a,training,False,output_not_block_multiple,,,,,,,,,,
c35c1b4c,training,True,,1,1,True,3,0,0,0,3,False,False
c3e719e8,training,True,,3,3,False,27,27,27,0,0,False,False
c3fa4749,training,True,,1,1,True,3,0,0,0,3,False,False
c444b776,training,True,,1,1,True,2,0,0,0,2,False,False
c48954c1,training,True,,3,3,False,27,27,23,4,0,True,False
c4d1a9ae,training,True,,1,1,True,2,0,0,0,2,False,False
c59eb873,training,True,,2,2,False,12,1,1,0,11,False,False
c6141b15,training,True,,1,1,True,3,0,0,0,3,False,False
c61be7dc,training,True,,1,1,True,3,0,0,0,3,False,False
c62e2108,training,True,,1,1,True,3,0,0,0,3,False,False
c64f1187,training,False,output_not_block_multiple,,,,,,,,,,
c658a4bd,training,False,output_not_block_multiple,,,,,,,,,,
c6e1b8da,training,True,,1,1,True,3,0,0,0,3,False,False
c7d4e6ad,training,True,,1,1,True,2,0,0,0,2,False,False
c803e39c,training,False,output_not_block_multiple,,,,,,,,,,
c87289bb,training,True,,1,1,True,4,0,0,0,4,False,False
c8b7cc0f,training,False,output_not_block_multiple,,,,,,,,,,
c8cbb738,training,False,output_not_block_multiple,,,,,,,,,,
c8f0f002,training,True,,1,1,True,3,0,0,0,3,False,False
c909285e,training,False,output_not_block_multiple,,,,,,,,,,
c920a713,training,False,output_not_block_multiple,,,,,,,,,,
c92b942c,training,True,,3,3,False,36,0,0,0,36,False,False
c9680e90,training,True,,1,1,True,3,0,0,0,3,False,False
c97c0139,training,True,,1,1,True,2,0,0,0,2,False,False
c9e6f938,training,True,,1,2,False,6,6,2,4,0,True,False
c9f8e694,training,True,,1,1,True,2,0,0,0,2,False,False
ca8de6ea,training,False,output_not_block_multiple,,,,,,,,,,
caa06a1f,training,True,,1,1,True,3,0,0,0,3,False,False
cad67732,training,True,,2,2,False,12,8,8,0,4,False,False
cb227835,training,True,,1,1,True,3,0,0,0,3,False,False
cbded52d,training,True,,1,1,True,3,0,0,0,3,False,False
cc9053aa,training,True,,1,1,True,3,0,0,0,3,False,False
ccd554ac,training,False,inconsistent_block_layout,,,,,,,,,,
cce03e0d,training,True,,3,3,False,27,27,27,0,0,False,False
cd3c21df,training,False,output_not_block_multiple,,,,,,,,,,
cdecee7f,training,False,output_not_block_multiple,,,,,,,,,,
ce039d91,training,True,,1,1,True,4,0,0,0,4,False,False
ce22a75a,training,True,,1,1,True,2,0,0,0,2,False,False
ce4f8723,training,False,output_not_block_multiple,,,,,,,,,,
ce602527,training,False,output_not_block_multiple,,,,,,,,,,
ce8d95cc,training,False,output_not_block_multiple,,,,,,,,,,
ce9e57f2,training,True,,1,1,True,3,0,0,0,3,False,False
cf133acc,training,True,,1,1,True,3,0,0,0,3,False,False
cf5fd0ad,training,True,,4,4,False,48,48,32,16,0,True,False
